student_id,date,dt_type,score
4MR_002,2026-07-10,선행,75
4MR_002,2026-07-11,현행,86
4MR_002,2026-07-11,선행,80
4MR_002,2026-07-12,현행,87
4MR_002,2026-07-12,선행,81
4MR_002,2026-07-13,현행,87
4MR_002,2026-07-13,선행,83
4MR_002,2026-07-14,현행,82
4MR_002,2026-07-14,선행,78
4MR_002,2026-07-15,현행,83
4MR_002,2026-07-15,선행,77
4MR_002,2026-07-16,현행,86
4MR_002,2026-07-16,선행,80
4MR_002,2026-07-17,현행,83
4MR_002,2026-07-17,선행,77
4MR_002,2026-07-18,현행,85
4MR_002,2026-07-18,선행,81
4MR_002,2026-07-19,현행,86
4MR_002,2026-07-19,선행,82
4MR_002,2026-07-20,현행,82
4MR_002,2026-07-20,선행,78
4MR_002,2026-07-21,현행,80
4MR_002,2026-07-21,선행,75
4MR_002,2026-07-22,현행,82
4MR_002,2026-07-22,선행,76
4MR_002,2026-07-23,현행,80
4MR_002,2026-07-23,선행,74
4MR_002,2026-07-24,현행,76
4MR_002,2026-07-24,선행,71
4MR_002,2026-07-25,현행,80
4MR_002,2026-07-25,선행,76
4MR_002,2026-07-26,현행,82
4MR_002,2026-07-26,선행,77
4MR_002,2026-07-27,현행,80
4MR_002,2026-07-27,선행,76
4MR_002,2026-07-28,현행,80
4MR_002,2026-07-28,선행,76
4MR_002,2026-07-29,현행,82
4MR_002,2026-07-29,선행,77
4MR_002,2026-07-30,현행,78
4MR_002,2026-07-30,선행,74
4MR_003,2026-07-01,현행,81
4MR_003,2026-07-01,선행,76
4MR_003,2026-07-02,현행,81
4MR_003,2026-07-02,선행,77
4MR_003,2026-07-03,현행,85
4MR_003,2026-07-03,선행,81
4MR_003,2026-07-04,현행,87
4MR_003,2026-07-04,선행,84
4MR_003,2026-07-05,현행,82
4MR_003,2026-07-05,선행,77
4MR_003,2026-07-06,현행,82
4MR_003,2026-07-06,선행,77
4MR_003,2026-07-07,현행,78
4MR_003,2026-07-07,선행,73
4MR_003,2026-07-08,현행,76
4MR_003,2026-07-08,선행,72
4MR_003,2026-07-09,현행,78
4MR_003,2026-07-09,선행,75
4MR_003,2026-07-10,현행,78
4MR_003,2026-07-10,선행,73
4MR_003,2026-07-11,현행,80
4MR_003,2026-07-11,선행,77
4MR_003,2026-07-12,현행,84
4MR_003,2026-07-12,선행,80
4MR_003,2026-07-13,현행,82
4MR_003,2026-07-13,선행,77
4MR_003,2026-07-14,현행,80
4MR_003,2026-07-14,선행,76
4MR_003,2026-07-15,현행,76
4MR_003,2026-07-15,선행,73
4MR_003,2026-07-16,현행,76
4MR_003,2026-07-16,선행,71
4MR_003,2026-07-17,현행,73
4MR_003,2026-07-17,선행,68
4MR_003,2026-07-18,현행,73
4MR_003,2026-07-18,선행,68
4MR_003,2026-07-19,현행,75
4MR_003,2026-07-19,선행,72
4MR_003,2026-07-20,현행,72
4MR_003,2026-07-20,선행,68
4MR_003,2026-07-21,현행,73
4MR_003,2026-07-21,선행,68
4MR_003,2026-07-22,현행,75
4MR_003,2026-07-22,선행,72
4MR_003,2026-07-23,현행,77
4MR_003,2026-07-23,선행,72
4MR_003,2026-07-24,현행,74
4MR_003,2026-07-24,선행,70
4MR_003,2026-07-25,현행,74
4MR_003,2026-07-25,선행,69
4MR_003,2026-07-26,현행,76
4MR_003,2026-07-26,선행,73
4MR_003,2026-07-27,현행,77
4MR_003,2026-07-27,선행,72
4MR_003,2026-07-28,현행,82
4MR_003,2026-07-28,선행,79
4MR_003,2026-07-29,현행,81
4MR_003,2026-07-29,선행,77
4MR_003,2026-07-30,현행,81
4MR_003,2026-07-30,선행,77
4MR_004,2026-07-01,현행,77
4MR_004,2026-07-01,선행,72
4MR_004,2026-07-02,현행,80
4MR_004,2026-07-02,선행,77
4MR_004,2026-07-03,현행,83
4MR_004,2026-07-03,선행,80
4MR_004,2026-07-04,현행,84
4MR_004,2026-07-04,선행,79
4MR_004,2026-07-05,현행,80
4MR_004,2026-07-05,선행,76
4MR_004,2026-07-06,현행,80
4MR_004,2026-07-06,선행,77
4MR_004,2026-07-07,현행,78
4MR_004,2026-07-07,선행,74
4MR_004,2026-07-08,현행,76
4MR_004,2026-07-08,선행,71
4MR_004,2026-07-09,현행,79
4MR_004,2026-07-09,선행,76
4MR_004,2026-07-10,현행,77
4MR_004,2026-07-10,선행,74
4MR_004,2026-07-11,현행,83
4MR_004,2026-07-11,선행,78
4MR_004,2026-07-12,현행,85
4MR_004,2026-07-12,선행,80
4MR_004,2026-07-13,현행,83
4MR_004,2026-07-13,선행,80
4MR_004,2026-07-14,현행,83
4MR_004,2026-07-14,선행,80
4MR_004,2026-07-15,현행,80
4MR_004,2026-07-15,선행,75
4MR_004,2026-07-16,현행,80
4MR_004,2026-07-16,선행,75
4MR_004,2026-07-17,현행,78
4MR_004,2026-07-17,선행,73
4MR_004,2026-07-18,현행,78
4MR_004,2026-07-18,선행,74
4MR_004,2026-07-19,현행,79
4MR_004,2026-07-19,선행,74
4MR_004,2026-07-20,현행,77
4MR_004,2026-07-20,선행,73
4MR_004,2026-07-21,현행,77
4MR_004,2026-07-21,선행,72
4MR_004,2026-07-22,현행,79
4MR_004,2026-07-22,선행,74
4MR_004,2026-07-23,현행,79
4MR_004,2026-07-23,선행,76
4MR_004,2026-07-24,현행,78
4MR_004,2026-07-24,선행,75
4MR_004,2026-07-25,현행,79
4MR_004,2026-07-25,선행,74
4MR_004,2026-07-26,현행,81
4MR_004,2026-07-26,선행,78
4MR_004,2026-07-27,현행,79
4MR_004,2026-07-27,선행,76
4MR_004,2026-07-28,현행,81
4MR_004,2026-07-28,선행,76
4MR_004,2026-07-29,현행,81
4MR_004,2026-07-29,선행,76
4MR_004,2026-07-30,현행,80
4MR_004,2026-07-30,선행,77
4MR_005,2026-07-01,현행,84
4MR_005,2026-07-01,선행,78
4MR_005,2026-07-02,현행,86
4MR_005,2026-07-02,선행,80
4MR_005,2026-07-03,현행,87
4MR_005,2026-07-03,선행,80
4MR_005,2026-07-04,현행,90
4MR_005,2026-07-04,선행,84
4MR_005,2026-07-05,현행,88
4MR_005,2026-07-05,선행,82
4MR_005,2026-07-06,현행,86
4MR_005,2026-07-06,선행,81
4MR_005,2026-07-07,현행,81
4MR_005,2026-07-07,선행,74
4MR_005,2026-07-08,현행,77
4MR_005,2026-07-08,선행,70
4MR_005,2026-07-09,현행,77
4MR_005,2026-07-09,선행,72
4MR_005,2026-07-10,현행,75
4MR_005,2026-07-10,선행,70
4MR_005,2026-07-11,현행,77
4MR_005,2026-07-11,선행,71
4MR_005,2026-07-12,현행,78
4MR_005,2026-07-12,선행,71
4MR_005,2026-07-13,현행,80
4MR_005,2026-07-13,선행,75
4MR_005,2026-07-14,현행,78
4MR_005,2026-07-14,선행,72
4MR_005,2026-07-15,현행,77
4MR_005,2026-07-15,선행,70
4MR_005,2026-07-16,현행,78
4MR_005,2026-07-16,선행,73
4MR_005,2026-07-17,현행,77
4MR_005,2026-07-17,선행,72
4MR_005,2026-07-18,현행,79
4MR_005,2026-07-18,선행,72
4MR_005,2026-07-19,현행,82
4MR_005,2026-07-19,선행,77
4MR_005,2026-07-20,현행,81
4MR_005,2026-07-20,선행,76
4MR_005,2026-07-21,현행,81
4MR_005,2026-07-21,선행,75
4MR_005,2026-07-22,현행,83
4MR_005,2026-07-22,선행,76
4MR_005,2026-07-23,현행,81
4MR_005,2026-07-23,선행,75
4MR_005,2026-07-24,현행,79
4MR_005,2026-07-24,선행,74
4MR_005,2026-07-25,현행,81
4MR_005,2026-07-25,선행,74
4MR_005,2026-07-26,현행,82
4MR_005,2026-07-26,선행,76
4MR_005,2026-07-27,현행,80
4MR_005,2026-07-27,선행,74
4MR_005,2026-07-28,현행,82
4MR_005,2026-07-28,선행,76
4MR_005,2026-07-29,현행,83
4MR_005,2026-07-29,선행,77
4MR_005,2026-07-30,현행,85
4MR_005,2026-07-30,선행,80
6MR1_001,2026-07-01,현행,83
6MR1_001,2026-07-01,선행,78
6MR1_001,2026-07-02,현행,81
6MR1_001,2026-07-02,선행,77
6MR1_001,2026-07-03,현행,85
6MR1_001,2026-07-03,선행,79
6MR1_001,2026-07-04,현행,82
6MR1_001,2026-07-04,선행,76
6MR1_001,2026-07-05,현행,77
6MR1_001,2026-07-05,선행,72
6MR1_001,2026-07-06,현행,74
6MR1_001,2026-07-06,선행,70
6MR1_001,2026-07-07,현행,72
6MR1_001,2026-07-07,선행,66
6MR1_001,2026-07-08,현행,65
6MR1_001,2026-07-08,선행,59
6MR1_001,2026-07-09,현행,68
6MR1_001,2026-07-09,선행,64
6MR1_001,2026-07-10,현행,69
6MR1_001,2026-07-10,선행,65
6MR1_001,2026-07-11,현행,73
6MR1_001,2026-07-11,선행,69
6MR1_001,2026-07-12,현행,75
6MR1_001,2026-07-12,선행,70
6MR1_001,2026-07-13,현행,74
6MR1_001,2026-07-13,선행,68
6MR1_001,2026-07-14,현행,69
6MR1_001,2026-07-14,선행,64
6MR1_001,2026-07-15,현행,63
6MR1_001,2026-07-15,선행,58
6MR1_001,2026-07-16,현행,67
6MR1_001,2026-07-16,선행,63
6MR1_001,2026-07-17,현행,65
6MR1_001,2026-07-17,선행,61
6MR1_001,2026-07-18,현행,72
6MR1_001,2026-07-18,선행,68
6MR1_001,2026-07-19,현행,75
6MR1_001,2026-07-19,선행,70
6MR1_001,2026-07-20,현행,72
6MR1_001,2026-07-20,선행,68
6MR1_001,2026-07-21,현행,71
6MR1_001,2026-07-21,선행,67
6MR1_001,2026-07-22,현행,72
6MR1_001,2026-07-22,선행,66
6MR1_001,2026-07-23,현행,69
6MR1_001,2026-07-23,선행,64
6MR1_001,2026-07-24,현행,68
6MR1_001,2026-07-24,선행,64
6MR1_001,2026-07-25,현행,68
6MR1_001,2026-07-25,선행,62
6MR1_001,2026-07-26,현행,71
6MR1_001,2026-07-26,선행,66
6MR1_001,2026-07-27,현행,73
6MR1_001,2026-07-27,선행,68
6MR1_001,2026-07-28,현행,80
6MR1_001,2026-07-28,선행,75
6MR1_001,2026-07-29,현행,76
6MR1_001,2026-07-29,선행,71
6MR1_001,2026-07-30,현행,75
6MR1_001,2026-07-30,선행,69
6MR1_002,2026-07-01,현행,77
6MR1_002,2026-07-01,선행,71
6MR1_002,2026-07-02,현행,80
6MR1_002,2026-07-02,선행,74
6MR1_002,2026-07-03,현행,82
6MR1_002,2026-07-03,선행,77
6MR1_002,2026-07-04,현행,84
6MR1_002,2026-07-04,선행,80
6MR1_002,2026-07-05,현행,79
6MR1_002,2026-07-05,선행,73
6MR1_002,2026-07-06,현행,78
6MR1_002,2026-07-06,선행,73
6MR1_002,2026-07-07,현행,75
6MR1_002,2026-07-07,선행,69
6MR1_002,2026-07-08,현행,71
6MR1_002,2026-07-08,선행,66
6MR1_002,2026-07-09,현행,72
6MR1_002,2026-07-09,선행,67
6MR1_002,2026-07-10,현행,73
6MR1_002,2026-07-10,선행,67
6MR1_002,2026-07-11,현행,76
6MR1_002,2026-07-11,선행,71
6MR1_002,2026-07-12,현행,80
6MR1_002,2026-07-12,선행,75
6MR1_002,2026-07-13,현행,80
6MR1_002,2026-07-13,선행,76
6MR1_002,2026-07-14,현행,80
6MR1_002,2026-07-14,선행,74
6MR1_002,2026-07-15,현행,80
6MR1_002,2026-07-15,선행,75
6MR1_002,2026-07-16,현행,82
6MR1_002,2026-07-16,선행,76
6MR1_002,2026-07-17,현행,75
6MR1_002,2026-07-17,선행,71
6MR1_002,2026-07-18,현행,74
6MR1_002,2026-07-18,선행,68
6MR1_002,2026-07-19,현행,80
6MR1_002,2026-07-19,선행,74
6MR1_002,2026-07-20,현행,78
6MR1_002,2026-07-20,선행,73
6MR1_002,2026-07-21,현행,73
6MR1_002,2026-07-21,선행,68
6MR1_002,2026-07-22,현행,76
6MR1_002,2026-07-22,선행,72
6MR1_002,2026-07-23,현행,81
6MR1_002,2026-07-23,선행,76
6MR1_002,2026-07-24,현행,82
6MR1_002,2026-07-24,선행,78
6MR1_002,2026-07-25,현행,84
6MR1_002,2026-07-25,선행,78
6MR1_002,2026-07-26,현행,86
6MR1_002,2026-07-26,선행,82
6MR1_002,2026-07-27,현행,83
6MR1_002,2026-07-27,선행,79
6MR1_002,2026-07-28,현행,87
6MR1_002,2026-07-28,선행,81
6MR1_002,2026-07-29,현행,87
6MR1_002,2026-07-29,선행,81
6MR1_002,2026-07-30,현행,87
6MR1_002,2026-07-30,선행,83
6MR1_003,2026-07-01,현행,98
6MR1_003,2026-07-01,선행,96
6MR1_003,2026-07-02,현행,97
6MR1_003,2026-07-02,선행,96
6MR1_003,2026-07-03,현행,98
6MR1_003,2026-07-03,선행,97
6MR1_003,2026-07-04,현행,99
6MR1_003,2026-07-04,선행,97
6MR1_003,2026-07-05,현행,95
6MR1_003,2026-07-05,선행,95
6MR1_003,2026-07-06,현행,92
6MR1_003,2026-07-06,선행,92
6MR1_003,2026-07-07,현행,89
6MR1_003,2026-07-07,선행,87
6MR1_003,2026-07-08,현행,85
6MR1_003,2026-07-08,선행,85
6MR1_003,2026-07-09,현행,85
6MR1_003,2026-07-09,선행,85
6MR1_003,2026-07-10,현행,88
6MR1_003,2026-07-10,선행,86
6MR1_003,2026-07-11,현행,94
6MR1_003,2026-07-11,선행,94
6MR1_003,2026-07-12,현행,98
6MR1_003,2026-07-12,선행,96
6MR1_003,2026-07-13,현행,99
6MR1_003,2026-07-13,선행,98
6MR1_003,2026-07-14,현행,97
6MR1_003,2026-07-14,선행,95
6MR1_003,2026-07-15,현행,95
6MR1_003,2026-07-15,선행,95
6MR1_003,2026-07-16,현행,97
6MR1_003,2026-07-16,선행,96
6MR1_003,2026-07-17,현행,97
6MR1_003,2026-07-17,선행,97
6MR1_003,2026-07-18,현행,98
6MR1_003,2026-07-18,선행,96
6MR1_003,2026-07-19,현행,97
6MR1_003,2026-07-19,선행,97
6MR1_003,2026-07-20,현행,95
6MR1_003,2026-07-20,선행,93
6MR1_003,2026-07-21,현행,92
6MR1_003,2026-07-21,선행,92
6MR1_003,2026-07-22,현행,92
6MR1_003,2026-07-22,선행,90
6MR1_003,2026-07-23,현행,89
6MR1_003,2026-07-23,선행,87
6MR1_003,2026-07-24,현행,88
6MR1_003,2026-07-24,선행,88
6MR1_003,2026-07-25,현행,90
6MR1_003,2026-07-25,선행,89
6MR1_003,2026-07-26,현행,92
6MR1_003,2026-07-26,선행,92
6MR1_003,2026-07-27,현행,91
6MR1_003,2026-07-27,선행,90
6MR1_003,2026-07-28,현행,95
6MR1_003,2026-07-28,선행,93
6MR1_003,2026-07-29,현행,93
6MR1_003,2026-07-29,선행,92
6MR1_003,2026-07-30,현행,92
6MR1_003,2026-07-30,선행,91
6MR1_004,2026-07-01,현행,68
6MR1_004,2026-07-01,선행,64
6MR1_004,2026-07-02,현행,72
6MR1_004,2026-07-02,선행,69
6MR1_004,2026-07-03,현행,76
6MR1_004,2026-07-03,선행,72
6MR1_004,2026-07-04,현행,81
6MR1_004,2026-07-04,선행,77
6MR1_004,2026-07-05,현행,79
6MR1_004,2026-07-05,선행,76
6MR1_004,2026-07-06,현행,82
6MR1_004,2026-07-06,선행,78
6MR1_004,2026-07-07,현행,79
6MR1_004,2026-07-07,선행,75
6MR1_004,2026-07-08,현행,77
6MR1_004,2026-07-08,선행,75
6MR1_004,2026-07-09,현행,77
6MR1_004,2026-07-09,선행,74
6MR1_004,2026-07-10,현행,81
6MR1_004,2026-07-10,선행,77
6MR1_004,2026-07-11,현행,87
6MR1_004,2026-07-11,선행,85
6MR1_004,2026-07-12,현행,88
6MR1_004,2026-07-12,선행,86
6MR1_004,2026-07-13,현행,89
6MR1_004,2026-07-13,선행,87
6MR1_004,2026-07-14,현행,87
6MR1_004,2026-07-14,선행,85
6MR1_004,2026-07-15,현행,87
6MR1_004,2026-07-15,선행,84
6MR1_004,2026-07-16,현행,89
6MR1_004,2026-07-16,선행,87
6MR1_004,2026-07-17,현행,85
6MR1_004,2026-07-17,선행,82
6MR1_004,2026-07-18,현행,84
6MR1_004,2026-07-18,선행,80
6MR1_004,2026-07-19,현행,86
6MR1_004,2026-07-19,선행,82
6MR1_004,2026-07-20,현행,82
6MR1_004,2026-07-20,선행,78
6MR1_004,2026-07-21,현행,82
6MR1_004,2026-07-21,선행,80
6MR1_004,2026-07-22,현행,83
6MR1_004,2026-07-22,선행,80
6MR1_004,2026-07-23,현행,85
6MR1_004,2026-07-23,선행,83
6MR1_004,2026-07-24,현행,85
6MR1_004,2026-07-24,선행,82
6MR1_004,2026-07-25,현행,87
6MR1_004,2026-07-25,선행,85
6MR1_004,2026-07-26,현행,91
6MR1_004,2026-07-26,선행,89
6MR1_004,2026-07-27,현행,89
6MR1_004,2026-07-27,선행,87
6MR1_004,2026-07-28,현행,92
6MR1_004,2026-07-28,선행,90
6MR1_004,2026-07-29,현행,91
6MR1_004,2026-07-29,선행,89
6MR1_004,2026-07-30,현행,90
6MR1_004,2026-07-30,선행,88
6MR1_005,2026-07-01,현행,65
6MR1_005,2026-07-01,선행,62
6MR1_005,2026-07-02,현행,72
6MR1_005,2026-07-02,선행,70
6MR1_005,2026-07-03,현행,77
6MR1_005,2026-07-03,선행,73
6MR1_005,2026-07-04,현행,83
6MR1_005,2026-07-04,선행,79
6MR1_005,2026-07-05,현행,83
6MR1_005,2026-07-05,선행,80
6MR1_005,2026-07-06,현행,82
6MR1_005,2026-07-06,선행,80
6MR1_005,2026-07-07,현행,80
6MR1_005,2026-07-07,선행,76
6MR1_005,2026-07-08,현행,80
6MR1_005,2026-07-08,선행,76
6MR1_005,2026-07-09,현행,84
6MR1_005,2026-07-09,선행,81
6MR1_005,2026-07-10,현행,86
6MR1_005,2026-07-10,선행,82
6MR1_005,2026-07-11,현행,92
6MR1_005,2026-07-11,선행,89
6MR1_005,2026-07-12,현행,95
6MR1_005,2026-07-12,선행,91
6MR1_005,2026-07-13,현행,95
6MR1_005,2026-07-13,선행,93
6MR1_005,2026-07-14,현행,92
6MR1_005,2026-07-14,선행,90
6MR1_005,2026-07-15,현행,89
6MR1_005,2026-07-15,선행,86
6MR1_005,2026-07-16,현행,89
6MR1_005,2026-07-16,선행,85
6MR1_005,2026-07-17,현행,85
6MR1_005,2026-07-17,선행,81
6MR1_005,2026-07-18,현행,87
6MR1_005,2026-07-18,선행,84
6MR1_005,2026-07-19,현행,91
6MR1_005,2026-07-19,선행,89
6MR1_005,2026-07-20,현행,86
6MR1_005,2026-07-20,선행,82
6MR1_005,2026-07-21,현행,84
6MR1_005,2026-07-21,선행,82
6MR1_005,2026-07-22,현행,85
6MR1_005,2026-07-22,선행,83
6MR1_005,2026-07-23,현행,86
6MR1_005,2026-07-23,선행,82
6MR1_005,2026-07-24,현행,85
6MR1_005,2026-07-24,선행,82
6MR1_005,2026-07-25,현행,87
6MR1_005,2026-07-25,선행,83
6MR1_005,2026-07-26,현행,89
6MR1_005,2026-07-26,선행,87
6MR1_005,2026-07-27,현행,86
6MR1_005,2026-07-27,선행,83
6MR1_005,2026-07-28,현행,91
6MR1_005,2026-07-28,선행,87
6MR1_005,2026-07-29,현행,89
6MR1_005,2026-07-29,선행,85
6MR1_005,2026-07-30,현행,88
6MR1_005,2026-07-30,선행,86
7MS1_001,2026-07-01,현행,96
7MS1_001,2026-07-01,선행,96
7MS1_001,2026-07-02,현행,96
7MS1_001,2026-07-02,선행,94
7MS1_001,2026-07-03,현행,97
7MS1_001,2026-07-03,선행,97
7MS1_001,2026-07-04,현행,98
7MS1_001,2026-07-04,선행,96
7MS1_001,2026-07-05,현행,93
7MS1_001,2026-07-05,선행,93
7MS1_001,2026-07-06,현행,93
7MS1_001,2026-07-06,선행,92
7MS1_001,2026-07-07,현행,89
7MS1_001,2026-07-07,선행,88
7MS1_001,2026-07-08,현행,87
7MS1_001,2026-07-08,선행,87
7MS1_001,2026-07-09,현행,89
7MS1_001,2026-07-09,선행,88
7MS1_001,2026-07-10,현행,89
7MS1_001,2026-07-10,선행,88
7MS1_001,2026-07-11,현행,91
7MS1_001,2026-07-11,선행,91
7MS1_001,2026-07-12,현행,92
7MS1_001,2026-07-12,선행,90
7MS1_001,2026-07-13,현행,93
7MS1_001,2026-07-13,선행,91
7MS1_001,2026-07-14,현행,92
7MS1_001,2026-07-14,선행,90
7MS1_001,2026-07-15,현행,90
7MS1_001,2026-07-15,선행,88
7MS1_001,2026-07-16,현행,90
7MS1_001,2026-07-16,선행,88
7MS1_001,2026-07-17,현행,88
7MS1_001,2026-07-17,선행,88
7MS1_001,2026-07-18,현행,88
7MS1_001,2026-07-18,선행,88
7MS1_001,2026-07-19,현행,90
7MS1_001,2026-07-19,선행,89
7MS1_001,2026-07-20,현행,89
7MS1_001,2026-07-20,선행,89
7MS1_001,2026-07-21,현행,89
7MS1_001,2026-07-21,선행,89
7MS1_001,2026-07-22,현행,91
7MS1_001,2026-07-22,선행,90
7MS1_001,2026-07-23,현행,90
7MS1_001,2026-07-23,선행,90
7MS1_001,2026-07-24,현행,89
7MS1_001,2026-07-24,선행,89
7MS1_001,2026-07-25,현행,87
7MS1_001,2026-07-25,선행,87
7MS1_001,2026-07-26,현행,92
7MS1_001,2026-07-26,선행,90
7MS1_001,2026-07-27,현행,88
7MS1_001,2026-07-27,선행,87
7MS1_001,2026-07-28,현행,90
7MS1_001,2026-07-28,선행,90
7MS1_001,2026-07-29,현행,92
7MS1_001,2026-07-29,선행,90
7MS1_001,2026-07-30,현행,90
7MS1_001,2026-07-30,선행,89
7MS1_002,2026-07-01,현행,65
7MS1_002,2026-07-01,선행,62
7MS1_002,2026-07-02,현행,70
7MS1_002,2026-07-02,선행,67
7MS1_002,2026-07-03,현행,78
7MS1_002,2026-07-03,선행,75
7MS1_002,2026-07-04,현행,82
7MS1_002,2026-07-04,선행,79
7MS1_002,2026-07-05,현행,81
7MS1_002,2026-07-05,선행,78
7MS1_002,2026-07-06,현행,84
7MS1_002,2026-07-06,선행,82
7MS1_002,2026-07-07,현행,83
7MS1_002,2026-07-07,선행,80
7MS1_002,2026-07-08,현행,81
7MS1_002,2026-07-08,선행,78
7MS1_002,2026-07-09,현행,82
7MS1_002,2026-07-09,선행,79
7MS1_002,2026-07-10,현행,84
7MS1_002,2026-07-10,선행,81
7MS1_002,2026-07-11,현행,90
7MS1_002,2026-07-11,선행,87
7MS1_002,2026-07-12,현행,93
7MS1_002,2026-07-12,선행,90
7MS1_002,2026-07-13,현행,92
7MS1_002,2026-07-13,선행,88
7MS1_002,2026-07-14,현행,90
7MS1_002,2026-07-14,선행,88
7MS1_002,2026-07-15,현행,85
7MS1_002,2026-07-15,선행,82
7MS1_002,2026-07-16,현행,85
7MS1_002,2026-07-16,선행,82
7MS1_002,2026-07-17,현행,82
7MS1_002,2026-07-17,선행,80
7MS1_002,2026-07-18,현행,81
7MS1_002,2026-07-18,선행,79
7MS1_002,2026-07-19,현행,85
7MS1_002,2026-07-19,선행,83
7MS1_002,2026-07-20,현행,83
7MS1_002,2026-07-20,선행,80
7MS1_002,2026-07-21,현행,82
7MS1_002,2026-07-21,선행,79
7MS1_002,2026-07-22,현행,83
7MS1_002,2026-07-22,선행,81
7MS1_002,2026-07-23,현행,81
7MS1_002,2026-07-23,선행,77
7MS1_002,2026-07-24,현행,80
7MS1_002,2026-07-24,선행,77
7MS1_002,2026-07-25,현행,81
7MS1_002,2026-07-25,선행,77
7MS1_002,2026-07-26,현행,87
7MS1_002,2026-07-26,선행,83
7MS1_002,2026-07-27,현행,86
7MS1_002,2026-07-27,선행,82
7MS1_002,2026-07-28,현행,90
7MS1_002,2026-07-28,선행,86
7MS1_002,2026-07-29,현행,88
7MS1_002,2026-07-29,선행,84
7MS1_002,2026-07-30,현행,86
7MS1_002,2026-07-30,선행,83
7MS1_003,2026-07-01,현행,79
7MS1_003,2026-07-01,선행,74
7MS1_003,2026-07-02,현행,82
7MS1_003,2026-07-02,선행,77
7MS1_003,2026-07-03,현행,83
7MS1_003,2026-07-03,선행,79
7MS1_003,2026-07-04,현행,86
7MS1_003,2026-07-04,선행,81
7MS1_003,2026-07-05,현행,84
7MS1_003,2026-07-05,선행,81
7MS1_003,2026-07-06,현행,81
7MS1_003,2026-07-06,선행,78
7MS1_003,2026-07-07,현행,78
7MS1_003,2026-07-07,선행,74
7MS1_003,2026-07-08,현행,76
7MS1_003,2026-07-08,선행,71
7MS1_003,2026-07-09,현행,79
7MS1_003,2026-07-09,선행,75
7MS1_003,2026-07-10,현행,78
7MS1_003,2026-07-10,선행,74
7MS1_003,2026-07-11,현행,79
7MS1_003,2026-07-11,선행,74
7MS1_003,2026-07-12,현행,79
7MS1_003,2026-07-12,선행,76
7MS1_003,2026-07-13,현행,80
7MS1_003,2026-07-13,선행,77
7MS1_003,2026-07-14,현행,79
7MS1_003,2026-07-14,선행,74
7MS1_003,2026-07-15,현행,74
7MS1_003,2026-07-15,선행,70
7MS1_003,2026-07-16,현행,76
